frame,player_id,x,y,pitch_x,pitch_y,role,team_id,confidence
0,1,329.5,694.0,5658.337890625,3985.701171875,player,1,0.9425849318504333
0,2,1705.0,720.0,9392.6962890625,5016.25341796875,player,0,0.9331761598587036
0,3,844.0,529.0,7333.3447265625,2030.4161376953125,player,1,0.9330440163612366
0,4,941.5,660.0,7358.91064453125,3924.347900390625,player,0,0.9319096207618713
0,5,1651.5,543.0,10187.1025390625,2701.079345703125,player,0,0.9298299551010132
0,6,1420.5,530.0,9397.224609375,2352.67236328125,player,1,0.9288495779037476
0,7,511.0,797.0,6092.72705078125,5072.6748046875,player,0,0.9252309203147888
0,9,979.0,536.0,7780.72216796875,2216.349609375,player,0,0.9181917309761047
0,10,1217.0,466.0,8959.31640625,1040.4814453125,player,1,0.9154642820358276
0,11,350.0,555.0,5699.07470703125,2203.81982421875,player,1,0.914191484451294
0,12,1252.0,427.0,9338.23046875,187.08316040039062,player,0,0.9133864641189575
0,13,1472.5,462.0,10046.5986328125,1084.4620361328125,player,1,0.9070700407028198
0,14,530.0,495.0,6305.4619140625,1279.5687255859375,player,0,0.9050869941711426
0,15,865.5,615.0,7221.41748046875,3322.4736328125,player,1,0.8965470790863037
0,16,492.5,495.0,6176.31787109375,1262.23779296875,player,1,0.8964305520057678
0,17,996.5,456.0,8121.85498046875,724.2034301757812,player,0,0.8962221741676331
0,19,1747.0,452.0,11345.3203125,1008.2315063476562,player,0,0.8844243884086609
0,20,908.5,451.0,7791.87353515625,576.5367431640625,player,1,0.8745580911636353
0,21,1197.0,435.0,9050.6533203125,350.3387451171875,player,1,0.8594666719436646
0,22,1301.0,461.0,9332.3662109375,976.8519897460938,player,0,0.827970564365387
0,8,1043.5,498.0,8140.1533203125,1583.3807373046875,referee,-1,0.9245151877403259
0,18,406.5,438.0,5893.2080078125,78.51692199707031,referee,-1,0.8869410753250122
1,1,329.5,694.0,5659.33544921875,3983.8671875,player,1,0.942507266998291
1,2,1705.5,720.0,9386.6181640625,5017.22216796875,player,0,0.9334943294525146
1,4,941.5,660.0,7360.279296875,3923.877197265625,player,0,0.932915985584259
1,3,844.0,529.0,7337.990234375,2024.1591796875,player,1,0.9328934550285339
1,5,1651.5,542.0,10190.5224609375,2686.259765625,player,0,0.9306593537330627
1,6,1420.5,530.0,9398.0419921875,2352.146728515625,player,1,0.928970992565155
1,7,511.0,797.0,6093.29931640625,5073.2109375,player,0,0.9253511428833008
