frame,player_id,x,y,pitch_x,pitch_y,role,team_id,confidence
0,-1,1296.0,427.78125,,,ball,-1,0.46759313344955444
0,22,1300.5,460.68750024999997,,,player,0,0.7428502440452576
0,21,1197.0,433.68750024999997,,,player,1,0.8142282962799072
0,20,907.5,452.25000024999997,,,player,1,0.8605961203575134
0,18,1746.0,452.25000024999997,,,player,0,0.8743075728416443
0,17,1473.0,460.68750024999997,,,player,1,0.8755931854248047
0,16,493.5,496.12500024999997,,,player,1,0.8810123801231384
0,15,996.0,455.62500024999997,,,player,0,0.8859566450119019
0,14,865.5,615.93750025,,,player,1,0.8881286978721619
0,13,529.5,494.43750024999997,,,player,0,0.8930366039276123
0,12,1251.0,426.93750024999997,,,player,0,0.8981037735939026
0,11,1215.0,465.75000024999997,,,player,1,0.9066846370697021
0,10,349.5,555.18750025,,,player,1,0.9071692824363708
0,9,978.0,536.62500025,,,player,0,0.9105236530303955
0,7,1653.0,541.68750025,,,player,0,0.919616162776947
0,6,511.5,798.18750025,,,player,0,0.9219750761985779
0,5,942.0,659.81250025,,,player,0,0.9232308268547058
0,4,1422.0,529.87500025,,,player,1,0.9250441193580627
0,3,843.0,528.18750025,,,player,1,0.9251589775085449
0,2,1705.5,718.87500025,,,player,0,0.9317918419837952
0,1,328.5,693.56250025,,,player,1,0.9340853691101074
0,19,406.5,438.75000024999997,,,referee,-1,0.8664847612380981
0,8,1042.5,497.81250024999997,,,referee,-1,0.9127780199050903
1,-1,1296.0,427.78125,,,ball,-1,0.4351995587348938
1,22,1300.5,460.6875,,,player,0,0.7498776316642761
1,21,1197.0,433.6875,,,player,1,0.813363790512085
1,20,907.5,452.25,,,player,1,0.8605209589004517
1,18,1746.0,452.25,,,player,0,0.874810516834259
1,17,1473.0,460.6875,,,player,1,0.8758523464202881
1,16,493.5,496.125,,,player,1,0.8796528577804565
1,15,996.0,455.625,,,player,0,0.8856339454650879
1,14,865.5,615.9375,,,player,1,0.8888093829154968
1,13,529.5,494.4375,,,player,0,0.8931364417076111
1,12,1251.0,426.9375,,,player,0,0.8985365629196167
1,11,1215.0,465.75,,,player,1,0.9058749675750732
1,10,349.5,555.1875,,,player,1,0.9068623185157776
1,9,978.0,536.625,,,player,0,0.9099158644676208
1,7,1653.0,541.6875,,,player,0,0.919536292552948
1,6,511.5,798.1875,,,player,0,0.9220805168151855
1,5,942.0,659.8125,,,player,0,0.9233049750328064
1,4,1422.0,529.875,,,player,1,0.9252625703811646
1,3,843.0,528.1875,,,player,1,0.925317645072937
1,2,1705.5,718.875,,,player,0,0.9320775866508484
1,1,328.5,693.5625,,,player,1,0.934103786945343
1,19,406.5,438.75,,,referee,-1,0.8664740324020386
1,8,1042.5,497.8125,,,referee,-1,0.913662314414978
2,22,1300.5,460.6875,,,player,0,0.8193502426147461
2,21,1200.0,433.6875,,,player,1,0.8589974045753479
2,20,909.0,452.25,,,player,1,0.8730435967445374
2,18,1747.5,452.25,,,player,0,0.8867402672767639
2,17,1473.0,460.6875,,,player,1,0.8862670660018921
2,16,493.5,496.125,,,player,1,0.8726692199707031
